specObjID,z,ra,dec,type,dered_u,dered_g,dered_r,dered_i,dered_z
11560867379442636800,0.5126109,162.83898,32.932219,null,null,null,null,null,null
2281175253226907648,1.509273,162.85029,32.90286,6,19.87398,19.34211,19.27883,19.03366,19.07068
11563018299081250816,1.939383,162.86444,32.975147,6,21.10909,21.09127,21.12197,20.87565,20.92254
2281174703471093760,0.1390301,162.86446,33.051656,3,20.17079,18.54406,17.72694,17.2894,16.96324
11560869303587985408,0.7020938,162.87884,32.901714,3,25.26756,22.74389,21.67926,20.52977,19.87689
7255339238220388352,0.5405575,162.88955,33.094971,3,25.57084,22.20799,20.78901,19.80299,19.24466
7255338688464574464,1.983443,162.89649,32.970073,6,22.20901,21.60587,21.72059,21.44672,21.53584
7255339787976202240,0.5271492,162.89899,33.036886,3,26.21607,22.03113,20.62211,19.64652,19.3383
2353253458947106816,0.09420331,162.74116,37.690461,3,19.67297,18.246,17.49957,17.07169,16.80409
5213109077555828736,1.794131,162.76688,37.73638,null,null,null,null,null,null
9965599685367584768,6.687973,162.76688,37.736379,null,null,null,null,null,null
5213103854875596800,0.6092139,162.775,37.875056,3,24.02842,22.53982,20.98052,19.87412,19.27176
5213104679509317632,3.208071,162.78984,37.862128,6,25.27005,21.66065,21.61261,21.38465,21.48198
9931665737424066560,3.206986,162.78984,37.862128,6,25.27005,21.66065,21.61261,21.38465,21.48198
5213108527800014848,-0.0002274357,162.79188,37.756967,6,21.00357,20.29737,20.08694,20.0792,19.93283
2259730374462564352,0.4713467,162.79213,37.887736,3,22.03774,20.35096,18.69337,17.97407,17.47532
5213106053898852352,0.4682821,162.80257,37.841516,3,24.39371,21.82616,20.21277,19.41855,18.91664
2259730099584657408,0.1249411,162.80922,37.694456,3,19.14997,17.96617,17.4193,17.1204,16.93108
2259730649340471296,-0.0008013317,162.81071,37.732939,null,null,null,null,null,null
2259729274950936576,0.0001132949,162.81878,37.796157,6,22.70485,19.8326,18.42609,17.50582,17.01158
5213107978044200960,2.289306,162.83318,37.826447,6,22.58721,21.90672,21.80259,21.96395,21.81751
9931653093040347136,2.296219,162.83319,37.826445,6,22.58721,21.90672,21.80259,21.96395,21.81751
2259726801049774080,1.271644,162.84143,37.814858,6,18.92233,18.81365,18.52946,18.44883,18.52673
5213106328776759296,0.4717619,162.84457,37.694864,3,25.50888,21.78802,20.10711,19.2981,18.92574
5213116499259316224,0.5021988,162.88096,37.701281,3,22.79082,21.73545,20.0123,19.06796,18.66699
2259728725195122688,0.04200567,162.88971,37.898364,3,18.22807,16.36476,15.73581,15.3449,15.02921
