specObjID,z,class,subClass,type,ra,dec,dered_u,dered_g,dered_r,dered_i,dered_z
559601149250922496,-0.0003903361,STAR,F5,6,207.64965,65.88948,18.99,18.12413,17.80734,17.68554,17.68912
559604172907898880,-0.0001602776,STAR,M6,6,208.02704,66.059383,24.29128,22.80851,21.34392,19.32558,18.22458
559604447785805824,-0.0005741105,STAR,A0,6,207.45267,65.930946,20.0198,18.90497,18.96584,19.09698,19.32948
559605272419526656,-0.0002161833,STAR,F2,6,208.10695,66.066979,19.51905,18.33298,18.07809,18.01593,18.02946
559607196564875264,-0.0001906872,STAR,M5,6,205.49275,64.93971,24.59652,23.24939,21.36464,19.29238,18.21236
559611044855572480,0.0003427974,STAR,Carbon_lines,6,206.93951,65.958526,23.13436,20.68775,18.95331,18.4275,18.17264
559611594611386368,-0.0006134209,STAR,A0,6,206.68331,65.646159,20.14713,19.00652,19.02816,19.05566,19.22378
559611869489293312,-0.0005944381,STAR,G2,6,207.06784,65.542019,18.14351,17.02693,16.67197,16.55907,16.53108
559614343390455808,9.007394E-06,STAR,M9,6,206.43483,65.704971,23.85684,26.02232,22.28657,19.99589,18.19106
559617641925339136,-0.000181683,STAR,A0,6,206.31836,65.58837,19.06135,17.86041,17.95769,18.0537,18.1334
559619566070687744,-7.866601E-05,STAR,K7,6,205.72838,65.60301,22.63653,19.54067,18.22577,17.68713,18.20405
559619840948594688,-0.001521645,STAR,CV,6,206.05028,66.073349,20.26969,20.12707,20.29683,20.45861,21.13435
559620115826501632,-3.991801E-05,STAR,F9,6,205.82899,65.588612,18.15095,16.86677,16.44869,16.31373,17.20833
559624788750919680,-0.0004653149,STAR,A0,6,204.70419,65.977239,16.48518,15.39862,15.4156,15.47856,15.56336
559630836064872448,-0.0003875304,STAR,F5,6,205.24495,65.326711,17.19438,15.99034,15.8046,15.72843,15.73845
559641006547429376,-0.0003734181,STAR,F5,6,203.67657,65.558505,17.87281,16.95999,16.60925,16.48071,16.4495
559643480448591872,-0.0007409942,STAR,A0p,6,204.86672,65.445707,19.04126,18.91499,19.37726,19.72581,19.9279
559647603617196032,-5.077928E-05,STAR,M8,6,203.97077,66.010708,24.47905,24.51797,23.68241,20.48828,18.84927
559648703128823808,-0.0006286321,STAR,F9,6,203.7087,65.8278,18.64183,17.4406,16.97823,16.80159,16.7282
559659973123008512,-0.000211428,STAR,A0,6,203.05993,65.966834,18.2715,17.13482,17.08669,17.1151,17.20199
559660522878822400,-1.066151E-05,STAR,M6,6,205.56163,67.423799,24.94494,22.87654,20.93945,18.97844,17.91054
559662447024171008,-5.915443E-05,STAR,M5,6,203.81875,67.096109,24.99872,20.72849,19.17813,17.26284,16.24084
559663546535798784,-8.441111E-05,STAR,M6,6,203.77771,66.697039,24.29895,23.02724,21.28438,19.14449,17.9492
559665195803240448,-6.95128E-05,STAR,A0,6,203.76135,66.944496,19.65859,18.58305,18.62699,18.69206,18.71271
559670693361379328,-0.001422852,STAR,F5,6,202.77677,66.419786,18.83307,17.94376,17.67042,17.59047,17.54854
559671517995100160,-0.0002226658,STAR,F5,6,204.32139,67.173154,16.96459,15.98587,15.75747,15.67334,15.66514
559673991896262656,0.0001028762,STAR,M7,6,204.35343,66.812037,23.1595,24.5817,21.56704,19.33038,17.96107
559678115064866816,-0.0001344881,STAR,M0,6,204.23676,66.516674,23.84119,20.27508,18.8818,18.21284,17.81341
559678939698587648,-0.000112399,STAR,M8,6,203.74542,66.465353,25.40624,24.06878,22.76692,19.82983,18.22445
559679764332308480,-0.0002445542,STAR,A0,6,203.75738,66.253414,16.50543,15.26773,15.33227,15.40332,15.47264
559681413599750144,-0.0002125854,STAR,M5,6,204.37242,66.595239,24.17924,21.76892,20.20008,18.16616,17.15082
559683062867191808,-0.0004490497,STAR,A0,6,204.70424,67.238852,16.98211,15.82642,15.93758,16.04373,16.14141
559684162378819584,-7.876159E-05,STAR,F5,6,205.08343,67.149418,17.00954,16.09396,15.80407,15.70453,15.68663
559689110181144576,-0.0001395102,STAR,G0,6,204.68138,66.542434,17.1095,15.989,15.65496,15.55123,15.53735
559689659936958464,-2.35581E-05,STAR,M6,6,204.68585,66.65475,23.76993,22.38593,21.0335,19.01592,17.88168
559691584082307072,-0.001395343,STAR,F5,6,204.72813,66.525256,18.97106,18.02524,17.64277,17.49247,17.4165
559692683593934848,-0.0005216982,STAR,A0,6,204.88781,66.344632,18.3981,17.25494,17.25328,17.29121,17.36954
559693783105562624,-0.0001908795,STAR,O,6,205.92452,67.031798,16.24841,16.76935,17.38141,17.78004,18.11164
559694332861376512,-0.0001005025,STAR,K5,6,205.81273,66.877559,23.47202,21.59462,20.64323,20.29152,19.69103
559694607739283456,-0.0001992824,STAR,OB,6,205.87337,67.125875,19.1291,19.18454,19.43114,19.63292,19.8438
559694882617190400,-1.014879E-05,STAR,M7,6,206.07938,67.36701,23.63408,21.60779,20.06601,17.5086,16.1651
559699830419515392,-0.0003732555,STAR,A0,6,205.66009,66.397522,18.98398,17.82007,18.00939,18.14507,18.27512
559706152611375104,-0.0003597118,STAR,K1,6,206.99088,66.171618,18.94229,17.53297,16.34501,16.1298,16.04215
559708351634630656,-0.000126165,STAR,L9,6,207.16584,66.086465,18.44827,18.89924,19.50015,19.83076,20.43637
559709176268351488,-0.0001045269,STAR,M6,6,206.97968,66.414755,25.92879,22.72185,21.08549,19.2281,18.21252
559710000902072320,-5.685066E-05,STAR,M2,6,207.5558,66.404424,20.52096,18.11933,16.31671,16.0063,15.35525
559714673826490368,-0.0002309782,STAR,M7,6,206.89464,66.632936,23.78539,23.24391,21.67333,19.0631,17.66136
559715498460211200,-6.332687E-05,STAR,K7,6,207.16011,67.079422,22.92042,20.29946,18.90033,18.29227,17.96851
559717147727652864,-0.0007631171,STAR,F5,6,206.53336,67.063141,19.26823,18.40639,18.17513,18.11014,18.13444
563111889962297344,9.263818E-05,STAR,M6,6,150.32417,2.3859908,25.53718,22.80589,21.26931,18.99805,17.70038
563114638741366784,0.0006524932,STAR,A0,6,150.29334,2.013999,20.78818,19.76475,19.7071,19.76834,19.77563
563116288008808448,1.492163E-05,STAR,M6,6,150.1526,2.9042796,25.57257,22.87743,20.88955,18.59076,17.27468
563117937276250112,0.0001584779,STAR,F9,6,150.13939,2.6547958,19.2525,17.97659,17.50466,17.34817,17.30197
563120136299505664,0.0002883116,STAR,A0,6,150.19358,2.9024758,16.57728,16.34092,16.38916,16.44394,16.51618
