,SOURCE_ID,ra,ra_error,dec,dec_error,period,eccentricity,center_of_mass_velocity,temperature_ratio
0,3456429705177588480,87.31434573508679,0.101544484,37.889995988497596,0.059252527,527.3496967075836,0.3434837843471707,,
1,3456492441764287872,87.27319953234478,0.059894424,38.32402938087311,0.06862536,529.9449636811353,0.30782034647855777,,
2,3126177300285177600,102.85076664957296,0.05392057,2.05430006145412,0.07203365,540.5499018822993,0.2568847517609821,,
3,576850636550801536,134.43762637751777,0.07856606,1.3338126531971142,0.096392654,916.0249569505711,0.44481911887752673,,
4,577733265213934464,134.1392921660573,0.1299123,1.9456781398636986,0.0883056,829.8212295674932,0.05547276274388284,,
5,580976034242295552,132.51658397820682,0.039380234,2.670760638472461,0.043345574,695.4954006708488,0.21238671509139515,,
6,582558678151846784,131.4110820292643,0.042799298,5.3261959858059225,0.04318663,651.3662340336967,0.3904545420809644,,
7,583462549724008320,135.71298771681032,0.022197152,6.008241296159958,0.040601883,630.7518619513619,0.006189678430109693,5.675180268416157,
8,584580684329803136,133.91287848978234,0.02067174,7.23791489261898,0.04042591,470.34783491203467,0.5892416898146503,,
9,584994783601457664,134.5075514857306,0.06568888,7.748112973605911,0.0674466,228.67383471037166,0.4058655287821869,,
10,585165658875448576,135.74112630996277,0.0536175,8.668930422303436,0.1111215,779.0085527706196,0.3162095349204292,,
11,585519014425225472,141.13697064618245,0.04833412,5.435886953611731,0.056378227,623.78966503199,0.03938958243729521,,
12,586322757424701952,141.45201657099838,0.03895497,6.827611098994436,0.07664638,578.5175704251923,0.42659325076544385,,
13,586880068086042880,138.39813202000346,0.14028205,6.698525242249215,0.26093793,568.7382531951805,0.5245725161711419,,
14,3091054947521517824,122.77960859374433,0.042824633,2.7870152060799893,0.06511435,661.2039028140135,0.16940225675447532,,
15,3092957240074316672,125.09600509368153,0.07256849,4.304186957316159,0.07480068,494.4875608077118,0.14279074870279584,,
