,SOURCE_ID,ra,ra_error,dec,dec_error,period,eccentricity,center_of_mass_velocity,temperature_ratio
0,5706424563148084992,125.82178989923823,0.056156334,-20.722231586335816,0.021256138,957.1824980048353,0.10671180763888419,,
1,5706570596334415488,126.41190744206692,0.056269635,-19.978067292224626,0.14848329,530.2356101412657,0.3701238614565365,,
2,5706594132755177472,126.44879167229556,0.028284796,-19.95739573446525,0.04596844,588.6041071118299,0.11133941196542611,,
3,5707346645385987584,125.6902515533706,0.054177716,-19.84831352704113,0.059893265,934.1360293676746,0.24711396917225115,,
4,5707414505868748928,125.6175875472746,0.04681678,-19.40175414943212,0.046789065,1158.5599535542847,0.5777136341845824,,
5,1849835718536827520,325.00862858230136,0.11077253,31.166289984142562,0.071946286,614.8290126805423,0.7575773092914108,,
6,1850337439436879104,322.3885951034045,0.04908081,30.72726244011298,0.11810195,419.528311141477,0.7485306607058646,,
7,1850510264623180928,322.7769656234218,0.14956538,30.69139100894266,0.06585197,1365.8697315193947,0.4025117904639076,,
8,1851374828661822336,317.1163346157143,0.06504555,28.92015156468951,0.06344745,649.5559081569365,0.6626340001506004,,
9,1851513126607796480,317.6867541611305,0.035965186,29.49628320566904,0.0378411,832.2169926511532,0.117573078724359,,
10,1872270463038609920,316.6610937485681,0.06537847,39.17760014437511,0.060920507,286.0246280655013,0.47616459503854447,,
11,6871521376626199936,297.50695281928125,0.032911845,-17.31128603450122,0.07970722,930.7637639617315,0.05754502751546563,,
12,6871998461596331392,298.48468679304335,0.11228081,-16.14586376195027,0.065624334,897.1654104205932,0.3874466622747605,,
13,6872155657392153728,298.5534176232331,0.06614201,-15.707626104509778,0.08549482,552.256920849042,0.28603054980803866,,
14,6872667480058655104,304.5246519039038,0.09875715,-18.29277328384675,0.054329418,535.2757699133405,0.4772942634924488,,
15,6873019151980707072,303.4512600879378,0.07026586,-17.379058302146518,0.116363406,1050.8307340246965,0.46324825935128716,,
16,6873389962277645952,304.95613153478587,0.102371275,-16.851408368583254,0.039122127,942.7657914323515,0.2898305246611709,,
17,5857206094563299840,197.18301898453188,0.040303424,-67.40374187491125,0.021687344,66.47390678799673,0.27384637798068845,,
18,5857407060338991872,196.31761857850833,0.02556346,-67.29026059789803,0.030782888,537.0636136454477,0.1587658963368782,-0.6230015956018795,
19,6658549479018843264,289.33251811327665,0.11322112,-48.49155513163658,0.053160068,549.1885988283727,0.3630401226970135,,
20,6658765326893117184,293.19478134836316,0.029660005,-49.55295159873775,0.052816432,582.3122998917919,0.28120483960861953,,
