source_id,ra,ra_error,dec,dec_error,source_id,teff_gspphot,spectraltype_esphs,lum_flame,mass_flame
3834383322529072896,148.8088527919605,0.07357649,0.9624963468220348,0.065102495,4295806720,5052.976,F,0.15797018,
3834569444936459392,148.75458338403072,11.846216,0.9628098482573895,15.56492,4295806720,5052.976,F,0.15797018,
3834569792829289344,148.767371628623,0.13871373,0.9817480998309859,0.14250371,4295806720,5052.976,F,0.15797018,
3834570681887186304,148.73013797035682,0.61084867,1.0157894207468567,0.6770451,4295806720,5052.976,F,0.15797018,
3834571132858834560,148.82155326875827,6.266989,0.9996032824810297,3.506659,4295806720,5052.976,F,0.15797018,
3834571231642865664,148.8184263543406,0.26080778,1.0156889667260196,0.27950087,4295806720,5052.976,F,0.15797018,
3830118587507880576,150.68154137358337,0.064195886,-1.2866286704294279,0.077417865,4295806720,5052.976,F,0.15797018,
3830119102903957760,150.6094415737121,0.65489745,-1.2821088048800355,0.6914123,4295806720,5052.976,F,0.15797018,
3830123642684368640,150.55248712981256,0.11459211,-1.192213054478789,0.124527454,4295806720,5052.976,F,0.15797018,
3830125017073474816,150.65626278836822,4.987586,-1.1315738930110353,7.46576,4295806720,5052.976,F,0.15797018,
3830125051433923072,150.63566502592622,8.546968,-1.1343952880949322,12.592682,4295806720,5052.976,F,0.15797018,
3830123642684368640,150.55248712981256,0.11459211,-1.192213054478789,0.124527454,4295806720,5052.976,F,0.15797018,
3830123780123322368,150.4956523654496,0.06615336,-1.1970938022903805,0.052279085,4295806720,5052.976,F,0.15797018,
3830123878907644800,150.51176157161188,0.15810479,-1.1759841343942254,0.15555069,4295806720,5052.976,F,0.15797018,
3830125017073474816,150.65626278836822,4.987586,-1.1315738930110353,7.46576,4295806720,5052.976,F,0.15797018,
3830125051433923072,150.63566502592622,8.546968,-1.1343952880949322,12.592682,4295806720,5052.976,F,0.15797018,
3830126181010167936,150.60188281469604,0.54667544,-1.0867904789990523,0.6626155,4295806720,5052.976,F,0.15797018,
3833126816961679360,150.52329111413232,1.2875828,-1.1411666356363983,0.8806591,4295806720,5052.976,F,0.15797018,
3833126851321417856,150.50326379785201,0.1239865,-1.1415087952739027,0.14225045,4295806720,5052.976,F,0.15797018,
3829746780778910080,150.48404990822155,0.4327365,-1.2872247401286443,0.39615592,4295806720,5052.976,F,0.15797018,
3830119102903957760,150.6094415737121,0.65489745,-1.2821088048800355,0.6914123,4295806720,5052.976,F,0.15797018,
3830123642684368640,150.55248712981256,0.11459211,-1.192213054478789,0.124527454,4295806720,5052.976,F,0.15797018,
3830123780123322368,150.4956523654496,0.06615336,-1.1970938022903805,0.052279085,4295806720,5052.976,F,0.15797018,
