source_id,ra,ra_error,dec,dec_error,source_id,classprob_dsc_combmod_star,teff_gspphot,spectraltype_esphs,lum_flame,mass_flame
828929527040,45.02361979732255,0.054348446,0.06841876724959775,0.057792775,828929527040,0.9998501,4333.865,K,0.1580817,0.68812126
828929527040,45.02361979732255,0.054348446,0.06841876724959775,0.057792775,1619203481984,0.999561,3595.7598,,0.05848712,0.5443271
828929527040,45.02361979732255,0.054348446,0.06841876724959775,0.057792775,1653563247744,0.99998254,6279.5405,F,1.1257267,
828929527040,45.02361979732255,0.054348446,0.06841876724959775,0.057792775,1683627775360,0.9999874,,,,
828929527040,45.02361979732255,0.054348446,0.06841876724959775,0.057792775,4054450582912,0.99998987,,,,
828929527040,45.02361979732255,0.054348446,0.06841876724959775,0.057792775,4432406356096,0.99999547,,,,
828929527040,45.02361979732255,0.054348446,0.06841876724959775,0.057792775,4711579935744,0.9999243,5512.4717,G,1.2867931,0.9161798
828929527040,45.02361979732255,0.054348446,0.06841876724959775,0.057792775,5360119348480,0.99996066,3378.046,,,
828929527040,45.02361979732255,0.054348446,0.06841876724959775,0.057792775,6012955592192,0.99998486,4201.8657,,,
828929527040,45.02361979732255,0.054348446,0.06841876724959775,0.057792775,6257768191616,0.99767864,,,,
828929527040,45.02361979732255,0.054348446,0.06841876724959775,0.057792775,8044474739968,0.9999189,3556.853,,0.057958174,0.54907614
828929527040,45.02361979732255,0.054348446,0.06841876724959775,0.057792775,9487583072128,0.998732,,,,
828929527040,45.02361979732255,0.054348446,0.06841876724959775,0.057792775,13331578663424,0.9999722,,,,
828929527040,45.02361979732255,0.054348446,0.06841876724959775,0.057792775,13335873755648,0.99783725,,,,
828929527040,45.02361979732255,0.054348446,0.06841876724959775,0.057792775,14263587225600,0.99979013,4313.4473,K,0.15573183,0.68356353
828929527040,45.02361979732255,0.054348446,0.06841876724959775,0.057792775,17111150306176,0.99999136,,,,
828929527040,45.02361979732255,0.054348446,0.06841876724959775,0.057792775,18386755988992,0.96035504,,,,
828929527040,45.02361979732255,0.054348446,0.06841876724959775,0.057792775,20031727905792,0.99999,,,,
828929527040,45.02361979732255,0.054348446,0.06841876724959775,0.057792775,20890721109504,0.99976176,3180.892,,,
828929527040,45.02361979732255,0.054348446,0.06841876724959775,0.057792775,20925080850304,0.9978706,,,,
828929527040,45.02361979732255,0.054348446,0.06841876724959775,0.057792775,21990233223168,0.99778473,,,,
828929527040,45.02361979732255,0.054348446,0.06841876724959775,0.057792775,24498493904000,0.99998796,,,,
828929527040,45.02361979732255,0.054348446,0.06841876724959775,0.057792775,27148489078656,0.99986607,4595.4043,K,0.19238628,0.74208164
828929527040,45.02361979732255,0.054348446,0.06841876724959775,0.057792775,28248000706176,0.99987,4788.102,K,0.30506864,0.7617105
828929527040,45.02361979732255,0.054348446,0.06841876724959775,0.057792775,30374008950912,0.99969655,3850.5447,,0.048285738,0.55663
828929527040,45.02361979732255,0.054348446,0.06841876724959775,0.057792775,33019708800384,0.9999858,,,,
828929527040,45.02361979732255,0.054348446,0.06841876724959775,0.057792775,34909494435840,0.99999833,,,,
828929527040,45.02361979732255,0.054348446,0.06841876724959775,0.057792775,36558761635584,0.99972606,3421.7656,,0.022668771,
828929527040,45.02361979732255,0.054348446,0.06841876724959775,0.057792775,37318971664640,0.9999477,5773.5273,K,1.4431888,0.97893554
828929527040,45.02361979732255,0.054348446,0.06841876724959775,0.057792775,37726992742400,0.99999624,,,,
828929527040,45.02361979732255,0.054348446,0.06841876724959775,0.057792775,40510132002432,0.9999964,,,,
828929527040,45.02361979732255,0.054348446,0.06841876724959775,0.057792775,40991168338944,0.99999267,,,,
